,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,cache_size,associativity,block_size,alloc_type,write_type,evictor_type
swim.trace_1024_1_16_no-write-allocate_write-through_fifo,220668,82525,217402,3266,57696,24829,34622859,1024,1,16,no-write-allocate,write-through,fifo
swim.trace_128_8_16_write-allocate_write-back_lru,220668,82525,219540,1128,71954,10571,9376046,128,8,16,write-allocate,write-back,lru
swim.trace_128_8_16_write-allocate_write-back_fifo,220668,82525,218338,2330,71780,10745,10065648,128,8,16,write-allocate,write-back,fifo
swim.trace_128_8_16_write-allocate_write-through_lru,220668,82525,219540,1128,71954,10571,38004492,128,8,16,write-allocate,write-through,lru
swim.trace_128_8_16_write-allocate_write-through_fifo,220668,82525,218338,2330,71780,10745,38556268,128,8,16,write-allocate,write-through,fifo
swim.trace_128_8_16_no-write-allocate_write-back_lru,220668,82525,218103,2565,58035,24490,11856593,128,8,16,no-write-allocate,write-back,lru
swim.trace_128_8_16_no-write-allocate_write-back_fifo,220668,82525,217988,2680,58003,24522,11939476,128,8,16,no-write-allocate,write-back,fifo
swim.trace_128_8_16_no-write-allocate_write-through_lru,220668,82525,218103,2565,58035,24490,34341758,128,8,16,no-write-allocate,write-through,lru
swim.trace_128_8_16_no-write-allocate_write-through_fifo,220668,82525,217988,2680,58003,24522,34387873,128,8,16,no-write-allocate,write-through,fifo
write01.trace_256_4_16_write-allocate_write-back_lru,0,5,0,0,2,3,2410,256,4,16,write-allocate,write-back,lru
write01.trace_256_4_16_write-allocate_write-back_fifo,0,5,0,0,2,3,2410,256,4,16,write-allocate,write-back,fifo
write01.trace_256_4_16_write-allocate_write-through_lru,0,5,0,0,2,3,3208,256,4,16,write-allocate,write-through,lru
write01.trace_256_4_16_write-allocate_write-through_fifo,0,5,0,0,2,3,3208,256,4,16,write-allocate,write-through,fifo
write01.trace_256_4_16_no-write-allocate_write-back_lru,0,5,0,0,0,5,2005,256,4,16,no-write-allocate,write-back,lru
